datetime,hour_of_year,day,hour_of_day,day_hour,kw_factor,grain_factor,kw
1/5/18 13:00,109,4fri,13,4fri_13,0,0,0
1/5/18 14:00,110,4fri,14,4fri_14,0,0,0
1/5/18 15:00,111,4fri,15,4fri_15,0,0,0
1/5/18 16:00,112,4fri,16,4fri_16,0,0,0
1/5/18 17:00,113,4fri,17,4fri_17,0,0,0
1/5/18 18:00,114,4fri,18,4fri_18,0,0,0
1/5/18 19:00,115,4fri,19,4fri_19,0,0,0
1/5/18 20:00,116,4fri,20,4fri_20,0,0,0
1/5/18 21:00,117,4fri,21,4fri_21,0,0,0
1/5/18 22:00,118,4fri,22,4fri_22,0,0,0
1/5/18 23:00,119,4fri,23,4fri_23,0,0,0
1/6/18 0:00,120,5sat,0,5sat_00,0,0,0
1/6/18 1:00,121,5sat,1,5sat_01,0,0,0.426334426
1/6/18 2:00,122,5sat,2,5sat_02,0,0,0.426334426
1/6/18 3:00,123,5sat,3,5sat_03,0,0,0.426334426
1/6/18 4:00,124,5sat,4,5sat_04,0,0,0.426334426
1/6/18 5:00,125,5sat,5,5sat_05,0,0,0.426334426
1/6/18 6:00,126,5sat,6,5sat_06,0,0,0
1/6/18 7:00,127,5sat,7,5sat_07,11.64506,11.64506,0
1/6/18 8:00,128,5sat,8,5sat_08,0.72792,0.72792,0
1/6/18 9:00,129,5sat,9,5sat_09,0,0,0
1/6/18 10:00,130,5sat,10,5sat_10,0.33154,0.33154,0
1/6/18 11:00,131,5sat,11,5sat_11,0.2054,0.2054,0
1/6/18 12:00,132,5sat,12,5sat_12,0,0,0
1/6/18 13:00,133,5sat,13,5sat_13,0,0,0
1/6/18 14:00,134,5sat,14,5sat_14,0,0,0
1/6/18 15:00,135,5sat,15,5sat_15,0,0,0
1/6/18 16:00,136,5sat,16,5sat_16,0,0,0
1/6/18 17:00,137,5sat,17,5sat_17,0,0,0
1/6/18 18:00,138,5sat,18,5sat_18,0,0,0
1/6/18 19:00,139,5sat,19,5sat_19,0,0,0
1/6/18 20:00,140,5sat,20,5sat_20,0,0,0
1/6/18 21:00,141,5sat,21,5sat_21,0,0,0
1/6/18 22:00,142,5sat,22,5sat_22,0,0,0
1/6/18 23:00,143,5sat,23,5sat_23,0,0,0
1/7/18 0:00,144,6sun,0,6sun_00,0,0,0
1/7/18 1:00,145,6sun,1,6sun_01,0,0,0.426334426
1/7/18 2:00,146,6sun,2,6sun_02,0.0018,0.0018,0.426334426
1/7/18 3:00,147,6sun,3,6sun_03,0,0,0.426334426
1/7/18 4:00,148,6sun,4,6sun_04,0,0,0.426334426
1/7/18 5:00,149,6sun,5,6sun_05,0,0,0.426334426
1/7/18 6:00,150,6sun,6,6sun_06,0.0018,0.0018,0
1/7/18 7:00,151,6sun,7,6sun_07,0.24864,0.24864,0
1/7/18 8:00,152,6sun,8,6sun_08,0.01802,0.01802,0
1/7/18 9:00,153,6sun,9,6sun_09,0,0,0
1/7/18 10:00,154,6sun,10,6sun_10,2.02162,2.02162,0
1/7/18 11:00,155,6sun,11,6sun_11,0.0072,0.0072,0
1/7/18 12:00,156,6sun,12,6sun_12,0.15856,0.15856,0
1/7/18 13:00,157,6sun,13,6sun_13,0.05406,0.05406,0
1/7/18 14:00,158,6sun,14,6sun_14,0,0,0
1/7/18 15:00,159,6sun,15,6sun_15,0,0,0
1/7/18 16:00,160,6sun,16,6sun_16,0,0,0
1/7/18 17:00,161,6sun,17,6sun_17,0,0,0
1/7/18 18:00,162,6sun,18,6sun_18,0,0,0
1/7/18 19:00,163,6sun,19,6sun_19,0,0,0
1/7/18 20:00,164,6sun,20,6sun_20,0,0,0
1/7/18 21:00,165,6sun,21,6sun_21,0,0,0
1/7/18 22:00,166,6sun,22,6sun_22,0,0,0
1/7/18 23:00,167,6sun,23,6sun_23,0,0,0
1/8/18 0:00,168,0mon,0,0mon_00,0,0,0
1/8/18 1:00,169,0mon,1,0mon_01,0.0054,0.0054,0.426334426
1/8/18 2:00,170,0mon,2,0mon_02,0,0,0.426334426
1/8/18 3:00,171,0mon,3,0mon_03,0,0,0.426334426
1/8/18 4:00,172,0mon,4,0mon_04,0,0,0.426334426
1/8/18 5:00,173,0mon,5,0mon_05,13.4036,13.4036,0.426334426
1/8/18 6:00,174,0mon,6,0mon_06,96.6288,96.6288,0
1/8/18 7:00,175,0mon,7,0mon_07,0,0,0
1/8/18 8:00,176,0mon,8,0mon_08,0,0,0
1/8/18 9:00,177,0mon,9,0mon_09,0.009,0.009,0
1/8/18 10:00,178,0mon,10,0mon_10,0,0,0
1/8/18 11:00,179,0mon,11,0mon_11,61.51352,61.51352,0
1/8/18 12:00,180,0mon,12,0mon_12,0.84686,0.84686,0
1/8/18 13:00,181,0mon,13,0mon_13,226.61802,226.61802,0
1/8/18 14:00,182,0mon,14,0mon_14,0,0,0
1/8/18 15:00,183,0mon,15,0mon_15,0,0,0
1/8/18 16:00,184,0mon,16,0mon_16,0,0,0
1/8/18 17:00,185,0mon,17,0mon_17,0,0,0
1/8/18 18:00,186,0mon,18,0mon_18,0,0,0
1/8/18 19:00,187,0mon,19,0mon_19,0,0,0
1/8/18 20:00,188,0mon,20,0mon_20,0,0,0
1/8/18 21:00,189,0mon,21,0mon_21,0,0,0
1/8/18 22:00,190,0mon,22,0mon_22,0,0,0
1/8/18 23:00,191,0mon,23,0mon_23,0,0,0
1/9/18 0:00,192,1tue,0,1tue_00,0,0,0
1/9/18 1:00,193,1tue,1,1tue_01,0,0,0.426334426
1/9/18 2:00,194,1tue,2,1tue_02,0,0,0.426334426
1/9/18 3:00,195,1tue,3,1tue_03,0,0,0.426334426
1/9/18 4:00,196,1tue,4,1tue_04,74.05408,74.05408,0.426334426
1/9/18 5:00,197,1tue,5,1tue_05,0.009,0.009,0.426334426
1/9/18 6:00,198,1tue,6,1tue_06,85.66304,85.66304,0
1/9/18 7:00,199,1tue,7,1tue_07,26.87568,26.87568,0
1/9/18 8:00,200,1tue,8,1tue_08,0.02522,0.02522,0
1/9/18 9:00,201,1tue,9,1tue_09,0,0,0
1/9/18 10:00,202,1tue,10,1tue_10,40.57298,40.57298,0
1/9/18 11:00,203,1tue,11,1tue_11,37.42342,37.42342,0
1/9/18 12:00,204,1tue,12,1tue_12,108.3982,108.3982,0
1/9/18 13:00,205,1tue,13,1tue_13,113.08828,113.08828,0
1/9/18 14:00,206,1tue,14,1tue_14,0,0,0
1/9/18 15:00,207,1tue,15,1tue_15,0,0,0
1/9/18 16:00,208,1tue,16,1tue_16,0,0,0
1/9/18 17:00,209,1tue,17,1tue_17,0,0,0
1/9/18 18:00,210,1tue,18,1tue_18,0,0,0
1/9/18 19:00,211,1tue,19,1tue_19,0,0,0
1/9/18 20:00,212,1tue,20,1tue_20,0,0,0
1/9/18 21:00,213,1tue,21,1tue_21,0,0,0
1/9/18 22:00,214,1tue,22,1tue_22,0,0,0
1/9/18 23:00,215,1tue,23,1tue_23,0,0,0.852668852
1/10/18 0:00,216,2wed,0,2wed_00,0,0,0.852668852
1/10/18 1:00,217,2wed,1,2wed_01,0,0,0.852668852
1/10/18 2:00,218,2wed,2,2wed_02,11.56396,11.56396,0.852668852
1/10/18 3:00,219,2wed,3,2wed_03,0,0,0.852668852
1/10/18 4:00,220,2wed,4,2wed_04,0,0,0
1/10/18 5:00,221,2wed,5,2wed_05,0,0,0
1/10/18 6:00,222,2wed,6,2wed_06,0,0,0
1/10/18 7:00,223,2wed,7,2wed_07,14.42342,14.42342,0
1/10/18 8:00,224,2wed,8,2wed_08,0,0,0
1/10/18 9:00,225,2wed,9,2wed_09,0,0,0
1/10/18 10:00,226,2wed,10,2wed_10,0,0,0
1/10/18 11:00,227,2wed,11,2wed_11,0,0,0
1/10/18 12:00,228,2wed,12,2wed_12,0.98018,0.98018,0
1/10/18 13:00,229,2wed,13,2wed_13,58.55496,58.55496,0
1/10/18 14:00,230,2wed,14,2wed_14,0,0,0
1/10/18 15:00,231,2wed,15,2wed_15,0,0,0
1/10/18 16:00,232,2wed,16,2wed_16,0,0,0
1/10/18 17:00,233,2wed,17,2wed_17,0,0,0
1/10/18 18:00,234,2wed,18,2wed_18,0,0,0
1/10/18 19:00,235,2wed,19,2wed_19,0,0,0
1/10/18 20:00,236,2wed,20,2wed_20,0,0,0
1/10/18 21:00,237,2wed,21,2wed_21,0,0,0
1/10/18 22:00,238,2wed,22,2wed_22,0,0,0
1/10/18 23:00,239,2wed,23,2wed_23,0,0,0
1/11/18 0:00,240,3thu,0,3thu_00,0,0,0
1/11/18 1:00,241,3thu,1,3thu_01,0,0,0
1/11/18 2:00,242,3thu,2,3thu_02,0,0,0
1/11/18 3:00,243,3thu,3,3thu_03,0,0,0
1/11/18 4:00,244,3thu,4,3thu_04,15.35676,15.35676,0
1/11/18 5:00,245,3thu,5,3thu_05,36.7982,36.7982,0
1/11/18 6:00,246,3thu,6,3thu_06,0,0,0
1/11/18 7:00,247,3thu,7,3thu_07,0,0,0
1/11/18 8:00,248,3thu,8,3thu_08,0,0,0
1/11/18 9:00,249,3thu,9,3thu_09,0,0,0
1/11/18 10:00,250,3thu,10,3thu_10,0,0,0
1/11/18 11:00,251,3thu,11,3thu_11,0,0,0
1/11/18 12:00,252,3thu,12,3thu_12,213.69372,213.69372,0
1/11/18 13:00,253,3thu,13,3thu_13,97.92252,97.92252,0
1/11/18 14:00,254,3thu,14,3thu_14,0,0,0
1/11/18 15:00,255,3thu,15,3thu_15,0,0,0
1/11/18 16:00,256,3thu,16,3thu_16,0,0,0
1/11/18 17:00,257,3thu,17,3thu_17,0,0,0
1/11/18 18:00,258,3thu,18,3thu_18,0,0,0
1/11/18 19:00,259,3thu,19,3thu_19,0,0,0
1/11/18 20:00,260,3thu,20,3thu_20,0,0,0
1/11/18 21:00,261,3thu,21,3thu_21,0,0,0
1/11/18 22:00,262,3thu,22,3thu_22,0,0,0
1/11/18 23:00,263,3thu,23,3thu_23,0,0,0
1/12/18 0:00,264,4fri,0,4fri_00,0,0,0
1/12/18 1:00,265,4fri,1,4fri_01,0,0,0.426334426
1/12/18 2:00,266,4fri,2,4fri_02,17.11352,17.11352,0.426334426
1/12/18 3:00,267,4fri,3,4fri_03,0,0,0.426334426
1/12/18 4:00,268,4fri,4,4fri_04,0,0,0.426334426
1/12/18 5:00,269,4fri,5,4fri_05,8.01982,8.01982,0.426334426
1/12/18 6:00,270,4fri,6,4fri_06,16.83966,16.83966,0
1/12/18 7:00,271,4fri,7,4fri_07,0,0,0
1/12/18 8:00,272,4fri,8,4fri_08,25.14234,25.14234,0
1/12/18 9:00,273,4fri,9,4fri_09,0,0,0
1/12/18 10:00,274,4fri,10,4fri_10,0,0,0
1/12/18 11:00,275,4fri,11,4fri_11,76.4739,76.4739,0
1/12/18 12:00,276,4fri,12,4fri_12,224.38374,224.38374,0
1/12/18 13:00,277,4fri,13,4fri_13,0,0,0
1/12/18 14:00,278,4fri,14,4fri_14,0,0,0
1/12/18 15:00,279,4fri,15,4fri_15,0,0,0
1/12/18 16:00,280,4fri,16,4fri_16,0,0,0
1/12/18 17:00,281,4fri,17,4fri_17,0.0036,0.0036,0
1/12/18 18:00,282,4fri,18,4fri_18,0,0,0
1/12/18 19:00,283,4fri,19,4fri_19,0,0,0
1/12/18 20:00,284,4fri,20,4fri_20,0,0,0
1/12/18 21:00,285,4fri,21,4fri_21,0,0,0
1/12/18 22:00,286,4fri,22,4fri_22,0,0,0
1/12/18 23:00,287,4fri,23,4fri_23,0,0,0
1/13/18 0:00,288,5sat,0,5sat_00,0,0,0
1/13/18 1:00,289,5sat,1,5sat_01,0,0,0.426334426
1/13/18 2:00,290,5sat,2,5sat_02,48.44146,48.44146,0.426334426
1/13/18 3:00,291,5sat,3,5sat_03,0,0,0.426334426
1/13/18 4:00,292,5sat,4,5sat_04,0,0,0.426334426
1/13/18 5:00,293,5sat,5,5sat_05,0,0,0.426334426
1/13/18 6:00,294,5sat,6,5sat_06,0,0,0
1/13/18 7:00,295,5sat,7,5sat_07,0.16396,0.16396,0
1/13/18 8:00,296,5sat,8,5sat_08,0,0,0
1/13/18 9:00,297,5sat,9,5sat_09,0,0,0
1/13/18 10:00,298,5sat,10,5sat_10,0.33154,0.33154,0
1/13/18 11:00,299,5sat,11,5sat_11,0,0,0
1/13/18 12:00,300,5sat,12,5sat_12,0,0,0
1/13/18 13:00,301,5sat,13,5sat_13,0.0036,0.0036,0
1/13/18 14:00,302,5sat,14,5sat_14,0,0,0
1/13/18 15:00,303,5sat,15,5sat_15,0,0,0
1/13/18 16:00,304,5sat,16,5sat_16,0,0,0
1/13/18 17:00,305,5sat,17,5sat_17,0,0,0
1/13/18 18:00,306,5sat,18,5sat_18,0,0,0
1/13/18 19:00,307,5sat,19,5sat_19,0,0,0
1/13/18 20:00,308,5sat,20,5sat_20,0,0,0
1/13/18 21:00,309,5sat,21,5sat_21,0,0,0
1/13/18 22:00,310,5sat,22,5sat_22,0,0,0
1/13/18 23:00,311,5sat,23,5sat_23,0,0,0
1/14/18 0:00,312,6sun,0,6sun_00,0,0,0
1/14/18 1:00,313,6sun,1,6sun_01,0,0,0.426334426
1/14/18 2:00,314,6sun,2,6sun_02,0,0,0.426334426
1/14/18 3:00,315,6sun,3,6sun_03,0,0,0.426334426
1/14/18 4:00,316,6sun,4,6sun_04,0,0,0.426334426
1/14/18 5:00,317,6sun,5,6sun_05,0,0,0.426334426
1/14/18 6:00,318,6sun,6,6sun_06,0,0,0
1/14/18 7:00,319,6sun,7,6sun_07,47.0847,47.0847,0
1/14/18 8:00,320,6sun,8,6sun_08,12.8973,12.8973,0
1/14/18 9:00,321,6sun,9,6sun_09,0,0,0
1/14/18 10:00,322,6sun,10,6sun_10,37.0036,37.0036,0
1/14/18 11:00,323,6sun,11,6sun_11,0.0072,0.0072,0
1/14/18 12:00,324,6sun,12,6sun_12,0.15856,0.15856,0
1/14/18 13:00,325,6sun,13,6sun_13,145.88652,145.88652,0
1/14/18 14:00,326,6sun,14,6sun_14,0,0,0
1/14/18 15:00,327,6sun,15,6sun_15,0,0,0
1/14/18 16:00,328,6sun,16,6sun_16,0,0,0
1/14/18 17:00,329,6sun,17,6sun_17,0,0,0
1/14/18 18:00,330,6sun,18,6sun_18,0,0,0
1/14/18 19:00,331,6sun,19,6sun_19,0,0,0
1/14/18 20:00,332,6sun,20,6sun_20,0,0,0
1/14/18 21:00,333,6sun,21,6sun_21,0,0,0
1/14/18 22:00,334,6sun,22,6sun_22,0,0,0
1/14/18 23:00,335,6sun,23,6sun_23,0,0,0
1/15/18 0:00,336,0mon,0,0mon_00,0,0,0
1/15/18 1:00,337,0mon,1,0mon_01,0.0054,0.0054,0.426334426
1/15/18 2:00,338,0mon,2,0mon_02,0,0,0.426334426
1/15/18 3:00,339,0mon,3,0mon_03,0,0,0.426334426
1/15/18 4:00,340,0mon,4,0mon_04,0,0,0.426334426
1/15/18 5:00,341,0mon,5,0mon_05,13.4036,13.4036,0.426334426
1/15/18 6:00,342,0mon,6,0mon_06,96.6288,96.6288,0
1/15/18 7:00,343,0mon,7,0mon_07,9.3153,9.3153,0
1/15/18 8:00,344,0mon,8,0mon_08,0,0,0
1/15/18 9:00,345,0mon,9,0mon_09,0.01442,0.01442,0
1/15/18 10:00,346,0mon,10,0mon_10,58.71172,58.71172,0
1/15/18 11:00,347,0mon,11,0mon_11,61.51352,61.51352,0
1/15/18 12:00,348,0mon,12,0mon_12,0.84686,0.84686,0
1/15/18 13:00,349,0mon,13,0mon_13,30.25044,30.25044,0
1/15/18 14:00,350,0mon,14,0mon_14,0,0,0
1/15/18 15:00,351,0mon,15,0mon_15,0,0,0
1/15/18 16:00,352,0mon,16,0mon_16,0,0,0
1/15/18 17:00,353,0mon,17,0mon_17,0,0,0
1/15/18 18:00,354,0mon,18,0mon_18,0,0,0
1/15/18 19:00,355,0mon,19,0mon_19,0,0,0
1/15/18 20:00,356,0mon,20,0mon_20,0,0,0
1/15/18 21:00,357,0mon,21,0mon_21,0,0,0
1/15/18 22:00,358,0mon,22,0mon_22,0,0,0
1/15/18 23:00,359,0mon,23,0mon_23,0,0,0
1/16/18 0:00,360,1tue,0,1tue_00,0,0,0
1/16/18 1:00,361,1tue,1,1tue_01,0,0,0.426334426
1/16/18 2:00,362,1tue,2,1tue_02,0,0,0.426334426
1/16/18 3:00,363,1tue,3,1tue_03,0,0,0.426334426
1/16/18 4:00,364,1tue,4,1tue_04,74.05408,74.05408,0.426334426
1/16/18 5:00,365,1tue,5,1tue_05,0.009,0.009,0.426334426
1/16/18 6:00,366,1tue,6,1tue_06,85.66304,85.66304,0
1/16/18 7:00,367,1tue,7,1tue_07,62.54414,62.54414,0
1/16/18 8:00,368,1tue,8,1tue_08,0.02522,0.02522,0
1/16/18 9:00,369,1tue,9,1tue_09,0,0,0
1/16/18 10:00,370,1tue,10,1tue_10,0,0,0
1/16/18 11:00,371,1tue,11,1tue_11,15.28288,15.28288,0
1/16/18 12:00,372,1tue,12,1tue_12,108.3982,108.3982,0
1/16/18 13:00,373,1tue,13,1tue_13,120.57474,120.57474,0
1/16/18 14:00,374,1tue,14,1tue_14,0,0,0
1/16/18 15:00,375,1tue,15,1tue_15,0,0,0
1/16/18 16:00,376,1tue,16,1tue_16,0,0,0
1/16/18 17:00,377,1tue,17,1tue_17,0,0,0
1/16/18 18:00,378,1tue,18,1tue_18,0,0,0
1/16/18 19:00,379,1tue,19,1tue_19,0,0,0
1/16/18 20:00,380,1tue,20,1tue_20,0,0,0
1/16/18 21:00,381,1tue,21,1tue_21,0,0,0
1/16/18 22:00,382,1tue,22,1tue_22,0,0,0
1/16/18 23:00,383,1tue,23,1tue_23,0,0,0.852668852
1/17/18 0:00,384,2wed,0,2wed_00,0,0,0.852668852
1/17/18 1:00,385,2wed,1,2wed_01,0,0,0.852668852
1/17/18 2:00,386,2wed,2,2wed_02,12.64506,12.64506,0.852668852
1/17/18 3:00,387,2wed,3,2wed_03,66.48648,66.48648,0.852668852
1/17/18 4:00,388,2wed,4,2wed_04,0,0,0
1/17/18 5:00,389,2wed,5,2wed_05,0,0,0
1/17/18 6:00,390,2wed,6,2wed_06,0,0,0
1/17/18 7:00,391,2wed,7,2wed_07,0,0,0
1/17/18 8:00,392,2wed,8,2wed_08,0,0,0
1/17/18 9:00,393,2wed,9,2wed_09,0,0,0
1/17/18 10:00,394,2wed,10,2wed_10,0,0,0
1/17/18 11:00,395,2wed,11,2wed_11,80.8,80.8,0
1/17/18 12:00,396,2wed,12,2wed_12,0.98018,0.98018,0
1/17/18 13:00,397,2wed,13,2wed_13,19.59276,19.59276,0
1/17/18 14:00,398,2wed,14,2wed_14,0,0,0
1/17/18 15:00,399,2wed,15,2wed_15,0,0,0
1/17/18 16:00,400,2wed,16,2wed_16,0,0,0
1/17/18 17:00,401,2wed,17,2wed_17,0,0,0
1/17/18 18:00,402,2wed,18,2wed_18,0,0,0
1/17/18 19:00,403,2wed,19,2wed_19,0,0,0
1/17/18 20:00,404,2wed,20,2wed_20,0,0,0
1/17/18 21:00,405,2wed,21,2wed_21,0,0,0
1/17/18 22:00,406,2wed,22,2wed_22,0,0,0
1/17/18 23:00,407,2wed,23,2wed_23,0,0,0
1/18/18 0:00,408,3thu,0,3thu_00,0,0,0
1/18/18 1:00,409,3thu,1,3thu_01,0,0,0
1/18/18 2:00,410,3thu,2,3thu_02,0,0,0
1/18/18 3:00,411,3thu,3,3thu_03,0.009,0.009,0
1/18/18 4:00,412,3thu,4,3thu_04,15.35676,15.35676,0
1/18/18 5:00,413,3thu,5,3thu_05,2.04502,2.04502,0
1/18/18 6:00,414,3thu,6,3thu_06,0,0,0
1/18/18 7:00,415,3thu,7,3thu_07,0,0,0
1/18/18 8:00,416,3thu,8,3thu_08,0,0,0
1/18/18 9:00,417,3thu,9,3thu_09,0,0,0
1/18/18 10:00,418,3thu,10,3thu_10,34.88648,34.88648,0
1/18/18 11:00,419,3thu,11,3thu_11,0,0,0
1/18/18 12:00,420,3thu,12,3thu_12,0,0,0
1/18/18 13:00,421,3thu,13,3thu_13,0,0,0
1/18/18 14:00,422,3thu,14,3thu_14,0,0,0
1/18/18 15:00,423,3thu,15,3thu_15,0,0,0
1/18/18 16:00,424,3thu,16,3thu_16,0,0,0
1/18/18 17:00,425,3thu,17,3thu_17,0,0,0
1/18/18 18:00,426,3thu,18,3thu_18,0,0,0
1/18/18 19:00,427,3thu,19,3thu_19,0,0,0
1/18/18 20:00,428,3thu,20,3thu_20,0,0,0
1/18/18 21:00,429,3thu,21,3thu_21,0,0,0
1/18/18 22:00,430,3thu,22,3thu_22,0,0,0
1/18/18 23:00,431,3thu,23,3thu_23,0,0,0
1/19/18 0:00,432,4fri,0,4fri_00,0,0,0
